callsign,icao24,latitude,longitude,on_ground,origin_country,velocity,baro_alt,vertical_rate,category,geo_altitude,airline_code,velocity_knots,vertical_rate_fpm,baro_alt_fpm
TVF12ZW,39de4e,41.4527,27.6394,False,France,176.3,4853.94,-5.2,0,5173.98,TVF,342.69899,-1023.62,4853.94
WZZ2196,471efb,41.4439,28.5065,False,Hungary,209.33,10972.8,-0.33,0,11544.3,WZZ,406.90403,-64.9605,10972.8
TCREG,4bc8a7,36.729,31.045,False,Turkey,177.16,4800.6,12.35,0,5105.4,TCR,344.37069,2431.0975,4800.6
ENT4862,505f15,37.5442,30.8827,False,Slovakia,228.83,10972.8,0.0,0,11590.02,ENT,444.80891,0.0,10972.8
SAS7374,4acb58,37.4916,25.9485,False,Sweden,224.98,9989.82,0.98,0,10660.38,SAS,437.32512,192.91299999999998,9989.82
PGT5AA,4bc8e1,41.8022,27.2299,False,Turkey,213.31,10363.2,0.33,0,10934.7,PGT,414.64051,64.9605,10363.2
PGT861J,4bc8cc,40.9315,28.4155,False,Turkey,197.56,6187.44,8.45,0,6576.06,PGT,384.02503,1663.3824999999997,6187.44
AEE907,46b832,37.1438,25.7635,False,Greece,217.43,10866.12,-10.4,0,11544.3,AEE,422.64913,-2047.24,10866.12
AEE992,46b824,40.9464,27.7179,False,Greece,126.67,2476.5,-3.25,0,2727.96,AEE,246.22621,-639.7624999999999,2476.5
LZB8843,4520d0,41.9264,25.9393,False,Bulgaria,256.21,10332.72,4.88,0,10919.46,LZB,498.03125,960.6279999999999,10332.72
H160V,4ba348,41.0708,29.0851,False,Turkey,37.38,190.5,-0.98,0,365.76,,72.66074,-192.91299999999998,190.5
MGH876,4bb4e3,40.5551,27.7256,False,Turkey,240.11,11277.6,0.0,0,11864.34,MGH,466.73542,0.0,11277.6
MGH746,4bb4e7,39.6137,28.4198,False,Turkey,263.93,11277.6,0.0,0,11902.44,MGH,513.03769,0.0,11277.6
PGT52GR,4bc856,41.506,27.7766,False,Turkey,219.16,8793.48,3.25,0,9319.26,PGT,426.01197,639.7624999999999,8793.48
PGT4664,4bc853,40.619,29.3816,False,Turkey,161.17,3581.4,13.66,0,3825.24,PGT,313.28869,2688.971,3581.4
PGT35BN,4bc84e,41.4573,29.6663,False,Turkey,218.7,3802.38,-15.28,0,4701.54,PGT,425.11781,-3007.868,3802.38
PGT73G,4bc84f,41.3707,27.8239,False,Turkey,253.78,10599.42,-5.2,0,11178.54,PGT,493.30772,-1023.62,10599.42
PGT3KH,4bc896,41.8664,27.7833,False,Turkey,227.08,9037.32,6.83,0,9563.1,PGT,441.40719,1344.4855,9037.32
PGT470B,4bc881,41.3746,28.2311,False,Turkey,203.49,8130.54,4.55,0,8618.22,PGT,395.552,895.6674999999999,8130.54
PGT53UC,4bc890,41.1471,28.4024,False,Turkey,197.77,6339.84,10.73,0,6713.22,PGT,384.43324,2112.2005,6339.84
MNB530,4bb47a,41.475,44.3151,False,Turkey,224.47,9753.6,0.0,0,10233.66,MNB,436.33376,0.0,9753.6
